r1,phi1,z1,r2,phi2,z2,r3,phi3,z3,theta_break,phi_break,label
31.4486,5.46569,13.4913,72.1809,4.38046,14.0208,115.191,4.20886,15.7344,0.0297916,0.026822,0.0
33.525701377964346,3.5613034038301143,-3.843149900436402,72.99531695452728,3.57266425674608,-14.023099899291992,115.93415215504724,3.585376787330341,-25.0575008392334,0.0239078241857045,0.0008807613429998,1.0
31.4719,4.61058,11.0319,72.5707,5.37113,264.317,116.023,5.482,467.72,0.0257176,0.0496001,0.0
32.353610316649885,5.203140652447761,16.522300720214844,71.85492887255411,5.1932519572283615,29.98209953308105,115.10035662212856,5.183631100750765,44.76539993286133,0.0165939765689388,0.0009883962880695,1.0
172.39593587140794,5.171235397862022,64.41889953613281,260.65874087841286,5.152482915725335,95.1999969482422,360.0754616633246,5.131700098074818,128.8000030517578,0.037831582356696,0.0096362150093503,1.0
32.3748,5.27631,210.024,72.7496,4.76819,-8.59063,116.387,4.61734,-254.959,0.0304898,0.00732162,0.0
32.0603,4.56742,230.305,71.189,4.69127,34.7756,115.902,4.76379,-252.102,0.0460231,0.0428905,0.0
32.1196,1.01433,-190.014,72.2134,1.47627,-51.8034,116.242,1.63171,78.6625,0.0337485,0.0431261,0.0
31.4754,1.85928,13.724,71.5812,2.75811,-192.795,116.907,2.90213,-388.376,0.0401161,0.0359179,0.0
116.997,4.71076,55.3378,170.803,5.00138,-262.52,259.864,5.21226,-806.0,0.0307676,0.0052575,0.0
32.056834114677784,2.605126668655812,-48.40290069580078,72.47108845741009,2.5922191225434497,-94.45179748535156,116.54280290665058,2.5810277243744437,-144.62600708007812,0.0127795703406418,0.0004156234808381,1.0
172.1930078523367,5.117536349490297,-37.24039840698242,260.07237452190674,5.140872647782289,-55.59999847412109,362.66993897540806,5.168080455189071,-77.19999694824219,0.0492767444170177,0.0015451257601259,1.0
33.267,2.01584,82.9565,72.6269,2.02869,211.785,115.978,2.01143,349.721,0.0187467,0.00799514,0.0
